,weapon,map,distance,killer name
346,Punch,MIRAMAR,4665.553693331264,2bbbbbbbbbbb
347,Pan,MIRAMAR,5440.743600424946,senling123
348,P92,MIRAMAR,4665.913212105214,NUOCMAM09
349,Pan,MIRAMAR,4844.101559921819,Y-xiaowei
350,Hit by Car,MIRAMAR,4890.086487105315,Infinity88
351,Sickle,MIRAMAR,4682.16268161306,Edmund999
352,Punch,MIRAMAR,3726.4337045659354,DadSwag
353,R45,MIRAMAR,5143.875325574775,Remandor
354,P92,MIRAMAR,5063.337079963174,Dade9
355,Punch,MIRAMAR,5050.858095674833,Rexgrandfather
356,P92,MIRAMAR,5079.753085812341,Dade9
357,P1911,MIRAMAR,5059.633564053824,Jakeitto
358,P1911,MIRAMAR,3782.343357372517,IgotTwoBalls
359,R45,MIRAMAR,4640.8382399869315,chinga_wick
360,P1911,MIRAMAR,3120.3472210268524,Z-Kill-sb
361,Punch,MIRAMAR,4946.380775996325,anan1100
362,Punch,MIRAMAR,4571.830728304035,Tpagzz
363,P92,MIRAMAR,3148.1626902688813,Sheva_HD
364,Hit by Car,MIRAMAR,3573.0928815082593,Raptorskunk
365,P1911,MIRAMAR,3713.9407171123503,AllstarPolice
366,Hit by Car,MIRAMAR,4723.534478644673,puNDuKE
367,P1911,MIRAMAR,3564.9738377571584,Ben_Dover125
368,P1911,MIRAMAR,3801.503409324395,Qualities
369,Punch,MIRAMAR,3739.1265393496647,AllstarPolice
370,P92,MIRAMAR,3758.819731828862,Cl3aReYeZ
371,Hit by Car,MIRAMAR,3728.0905991680247,xiamiyinyue
372,Pan,MIRAMAR,6394.676610078495,Ishitou
373,Hit by Car,MIRAMAR,7876.831712335069,Jenckydoodle
374,Punch,MIRAMAR,4665.79111638198,Yizhixiaojuzi
375,P92,MIRAMAR,4949.92799886069,doyu-tv54188
376,P92,MIRAMAR,4867.086214123703,doyu-tv54188
377,P92,MIRAMAR,4940.5450194035275,LictorIia
378,Punch,MIRAMAR,4957.793930272313,TongJia
379,P1911,MIRAMAR,7955.180521708416,ECLIPSEDFIGHTER
380,Hit by Car,MIRAMAR,6585.05522705239,PuErWHH
381,P92,MIRAMAR,2964.752069179647,Cjdd_S12k
382,P92,MIRAMAR,3046.003686992023,Cjdd_S12k
383,Punch,MIRAMAR,4609.594506253235,zhangjiajun666
384,Punch,MIRAMAR,3889.798026273858,VAVA0125
385,P1911,MIRAMAR,3807.8900791868987,purpleturtle48
386,Hit by Car,MIRAMAR,3395.211314369696,TheAntagonist_
387,R45,MIRAMAR,3164.1828068681493,PowerOfLife
388,P92,MIRAMAR,3810.148084203552,SeejayTeetz
389,Punch,MIRAMAR,3834.5336853695785,xiaodaidai003
390,Pan,MIRAMAR,3736.8208530569136,SeejayTeetz
391,P92,MIRAMAR,3811.961499576432,SeejayTeetz
392,P92,MIRAMAR,5592.639754904387,CJxdv5
393,R45,MIRAMAR,4607.625119959739,feilong08
394,Hit by Car,MIRAMAR,4715.411460968916,FuDeM0
395,Hit by Car,MIRAMAR,6658.597540728528,cHou66
