,weapon,map,distance,killer name
12726,Punch,ERANGEL,3260.9230217231443,zbc74110
12727,Punch,ERANGEL,3264.7488934827747,zbc74110
12728,Punch,ERANGEL,7416.626782206045,lynaisi
12729,Punch,ERANGEL,5347.745359241593,Zenitheract
12730,Punch,ERANGEL,3632.845214806158,HUAYULIN
12731,Punch,ERANGEL,4684.714282776378,BBabyBoom
12732,Punch,ERANGEL,4794.569033605628,NewbeeForce666
12733,Punch,ERANGEL,8331.779504121554,commadore77
12734,Hit by Car,ERANGEL,6107.661490103475,DikKinCider
12735,Punch,ERANGEL,120.20598501322594,QAQII1
12736,Punch,ERANGEL,3761.9020939227007,Aishang_laoma
12737,Punch,ERANGEL,7526.123869570046,tang-baobao
12738,Punch,ERANGEL,7515.020626113078,MarstoCC
12739,Punch,ERANGEL,7505.3938306754435,tang-baobao
12740,P1911,ERANGEL,4840.260742597242,yyzylgj1
12741,P1911,ERANGEL,5465.728158878102,Majiyabagulei
12742,Pan,ERANGEL,6281.848879134948,Gamespace68
12743,Punch,ERANGEL,7818.328678446436,TrovatoEX
12744,Punch,ERANGEL,8518.366456086109,13a11y
12745,Pan,ERANGEL,7735.84173534335,LI2513
12746,Punch,ERANGEL,124.1541145713666,TJ-Sun
12747,R1895,ERANGEL,3778.1160539037173,yangzeweiUUU
12748,Punch,ERANGEL,4526.072659979842,PromiseXz
12749,Punch,ERANGEL,4518.6609537278855,piegonbreeder
12750,Punch,ERANGEL,4492.689489998613,Abusamadress
12751,Punch,ERANGEL,4508.653174499565,Abusamadress
12752,Punch,ERANGEL,4441.075788726984,kenaiyu
12753,Pan,ERANGEL,6797.981561890632,blues-shuijian
12754,Hit by Car,ERANGEL,5770.139201035968,malaxiangguo036
12755,Hit by Car,ERANGEL,106.83872324209034,BYH7708801314520
12756,Punch,ERANGEL,8578.14372698546,BabaIamSorry
12757,R1895,ERANGEL,204.70212061920597,Rousex
12758,Machete,ERANGEL,6583.997694701677,BroccoliJon
12759,Punch,ERANGEL,6452.363045250399,WeakChickenDad
12760,Machete,ERANGEL,6555.46709386181,BroccoliJon
12761,Punch,ERANGEL,7726.77484626969,saodeyibi2017
12762,Punch,ERANGEL,5493.89089884801,jjyykp
12763,Punch,ERANGEL,7684.301696369358,AidenTT
12764,Punch,ERANGEL,4127.129458919965,fhweuifhweuio
12765,Punch,ERANGEL,7657.483799166472,Cyixin6
12766,P92,ERANGEL,7662.988264493298,Thomasina
12767,Hit by Car,ERANGEL,8427.277317014434,summercaonima
12768,Hit by Car,ERANGEL,5346.065011474702,wesk74
12769,Punch,ERANGEL,7911.634933079319,respawnjunkie
12770,Punch,ERANGEL,7872.660482582556,LucasInBrasil
12771,Punch,ERANGEL,5729.579385873713,Heardless
12772,Punch,ERANGEL,8272.864801307103,CS_Man
12773,Punch,ERANGEL,7603.152624008872,AoAoAo88
12774,Punch,ERANGEL,7576.1320053806485,AoAoAo88
12775,P1911,ERANGEL,5057.498914214911,qishilaowang
12776,Punch,ERANGEL,4693.491713302262,jing7
12777,Punch,ERANGEL,4672.9221740663515,haoge124
12778,Hit by Car,ERANGEL,7343.66723557774,Tiffany1997
12779,Punch,ERANGEL,7645.0815570188,hedashu1
12780,P92,ERANGEL,3910.758719320971,DiaMoo647
12781,Punch,ERANGEL,4694.150633307904,HarvilM
12782,Punch,ERANGEL,4660.308829792506,LostGamer
12783,Punch,ERANGEL,6123.181847692015,FG1988
12784,Punch,ERANGEL,6133.911123032025,FG1988
12785,Punch,ERANGEL,6125.153566008447,FG1988
12786,P92,ERANGEL,5198.626734638486,DBCooperTman
12787,Punch,ERANGEL,8147.797925595602,WolfCHH
12788,P92,ERANGEL,5384.281056747039,DBCooperTman
12789,Punch,ERANGEL,8153.280727561145,WolfCHH
12790,P92,ERANGEL,7615.634564452592,MEIZHOUWUYANZU2
12791,Punch,ERANGEL,7680.368873591489,LopngLY
12792,Punch,ERANGEL,7669.192895726381,LopngLY
12793,Punch,ERANGEL,7647.929613926699,LopngLY
12794,Punch,ERANGEL,7599.7791835437565,TONYAAA
12795,Punch,ERANGEL,7704.571190423514,TONYAAA
12796,Punch,ERANGEL,7605.670264999004,GuA2n
12797,Punch,ERANGEL,5844.379708213096,x2phere
12798,Hit by Car,ERANGEL,5846.795013274966,x2phere
12799,Punch,ERANGEL,5860.12865233051,x2phere
12800,P1911,ERANGEL,7251.004086824183,SORINA9et
12801,Punch,ERANGEL,7904.369631938084,usedcarry
12802,Punch,ERANGEL,7885.101123113768,usedcarry
12803,Punch,ERANGEL,7902.691563099562,usedcarry
12804,Punch,ERANGEL,7880.013307303485,usedcarry
12805,Hit by Car,ERANGEL,3453.9173613313337,Goudan250kg
12806,Punch,ERANGEL,7885.870193071783,usedcarry
12807,Punch,ERANGEL,8100.814902639672,chu925
12808,P18C,ERANGEL,5512.08863669027,Master_Wenchao
12809,Punch,ERANGEL,7818.590953086177,dadashinige
12810,Punch,ERANGEL,5510.15818588178,Master_Wenchao
12811,Punch,ERANGEL,6595.337774395258,wwkmfpo
12812,Punch,ERANGEL,6600.520441815175,wwkmfpo
12813,Punch,ERANGEL,7174.035111767784,liuboailijiayi
12814,Sickle,ERANGEL,5157.857037996789,championpapa
12815,Punch,ERANGEL,7052.587448469178,Scoundrel_
12816,Punch,ERANGEL,7072.478020791581,Anges_
12817,Punch,ERANGEL,5394.966334145562,BSlaughter
12818,Punch,ERANGEL,3136.9405554777413,ccdyy520
12819,Punch,ERANGEL,3122.068892271598,ccdyy520
12820,Punch,ERANGEL,7043.281860156529,SecXiaoMing
12821,Punch,ERANGEL,7041.300750267454,SecXiaoMing
12822,Punch,ERANGEL,7061.751122411565,SecXiaoMing
12823,Hit by Car,ERANGEL,5981.320972166015,KevinJai916
12824,Punch,ERANGEL,7721.751923897324,yangyl123
12825,Hit by Car,ERANGEL,6712.015474388971,yeyeyeyee
12826,Punch,,121.56890031582866,shihshih
12827,Punch,ERANGEL,5995.697953876762,laichijihaobuhao
12828,Punch,ERANGEL,5681.173997662807,TWOPUNCHHH
12829,Punch,ERANGEL,7820.2451030890315,DaDa_8
12830,Punch,ERANGEL,7647.238398965277,CruelBrando
12831,P1911,ERANGEL,4183.837994735575,woak47
12832,P92,ERANGEL,4298.842702786414,felipeduartemir
12833,P1911,ERANGEL,4042.8349315301007,SalvWatore
12834,P1911,ERANGEL,4018.092417724859,SalvWatore
12835,Punch,ERANGEL,2142.2864768711493,klaio
12836,Punch,ERANGEL,2171.29493646188,klaio
12837,Punch,ERANGEL,7191.286087512442,NIDEMIANZI
12838,Hit by Car,ERANGEL,4369.941197968229,SFJASDJ
12839,R1895,ERANGEL,4712.755442997758,AngyBoi
12840,Punch,ERANGEL,3883.9067623340293,CJFish
12841,Punch,ERANGEL,6138.736704265545,Cal1gula
12842,Punch,ERANGEL,6141.492923976466,Cal1gula
12843,Punch,ERANGEL,7806.278028119995,NIGEGEZAICI
12844,Punch,ERANGEL,7797.254113290139,NIGEGEZAICI
12845,Punch,ERANGEL,3820.353909863849,namebeishang
12846,Punch,ERANGEL,3825.9492229074344,123coco
12847,Punch,ERANGEL,3819.6246128584417,123coco
12848,Punch,ERANGEL,3818.104048682801,123coco
12849,R1895,ERANGEL,5925.260709213393,Xu_HaoYu
12850,R1895,ERANGEL,5889.528344291247,Xu_HaoYu
12851,Punch,ERANGEL,7204.290612034192,luyao0011
12852,Punch,ERANGEL,8536.900739643457,EMLeon
12853,Pan,ERANGEL,6284.48884385747,Nebula917
12854,Hit by Car,ERANGEL,3838.197292356921,1MZW
12855,Punch,ERANGEL,7644.637671261928,DGFaker
12856,Punch,ERANGEL,7633.0153371904735,DGFaker
12857,Punch,ERANGEL,7649.954386245319,LSong36
12858,Punch,ERANGEL,7626.705734109976,LSong36
12859,Punch,ERANGEL,7338.112697093511,bingniao
12860,Punch,ERANGEL,8289.558298492992,LostGamer
12861,Punch,ERANGEL,3587.225231286294,OPLAGOON
12862,Punch,ERANGEL,5645.321110923097,QQqun_608138356
12863,Punch,ERANGEL,3581.1840021191315,OPLAGOON
12864,Punch,ERANGEL,3582.746746140173,OPLAGOON
12865,Punch,ERANGEL,3580.9114214079636,OPLAGOON
12866,Punch,ERANGEL,3581.8814716303773,OPLAGOON
12867,Punch,ERANGEL,3585.4981785092295,OPLAGOON
12868,Punch,ERANGEL,3567.4816817360115,OPLAGOON
12869,Punch,ERANGEL,5396.278187396661,Wagamble
12870,Punch,ERANGEL,5395.068729097898,Wagamble
12871,Punch,ERANGEL,5392.178175598521,Wagamble
12872,Punch,ERANGEL,5395.637126144141,Wagamble
12873,P92,ERANGEL,5182.576957853786,Curtain741
12874,Punch,ERANGEL,7142.348846358039,Marko47
12875,Punch,ERANGEL,7516.338310236241,huoqiyanzu
12876,Punch,ERANGEL,7490.196617694357,huoqiyanzu
12877,Punch,ERANGEL,7498.826726539693,huoqiyanzu
12878,Punch,ERANGEL,7831.303695319702,XIAOZENGE
12879,Punch,ERANGEL,6180.275278411472,Hao-sama
12880,Punch,ERANGEL,6160.749997210568,Soloswaggins
12881,P1911,ERANGEL,3726.854304056975,Pietato
12882,P92,ERANGEL,3417.5599423584367,lovelace96
12883,Punch,ERANGEL,5521.244082898799,hold-my-breath
12884,Punch,ERANGEL,7558.497633936853,pablito20
12885,Punch,ERANGEL,7540.367183348633,pablito20
12886,Punch,ERANGEL,7562.928053099342,pablito20
12887,Punch,ERANGEL,7543.714724355898,pablito20
12888,Punch,ERANGEL,6010.628554321836,jiachengNB
12889,Punch,ERANGEL,6000.771130008626,jiachengNB
12890,Punch,ERANGEL,7704.755440050773,wweirao
12891,Punch,ERANGEL,7139.781569872639,AAAABBB
12892,Punch,ERANGEL,7145.450475364868,AAAABBB
12893,Punch,ERANGEL,7159.504521246216,AAAABBB
12894,Punch,ERANGEL,3704.9705674083298,D-Carl
12895,Punch,ERANGEL,3700.627494756261,D-Carl
12896,Punch,ERANGEL,3689.0606144454982,ARsidoubi
12897,Punch,ERANGEL,3530.7012056983804,LQ120
12898,Punch,ERANGEL,4494.602285430047,FlyAurora
12899,Punch,ERANGEL,4478.037406080481,FlyAurora
12900,Punch,ERANGEL,4482.736781921732,FlyAurora
12901,Hit by Car,ERANGEL,7763.171971968738,WangLWW
12902,Pan,ERANGEL,8371.640275360916,pinkgloria
12903,Punch,ERANGEL,2721.0467744831217,Totto-K
12904,Punch,ERANGEL,2710.8813412206005,Totto-K
12905,Hit by Car,ERANGEL,7780.199053610967,Jarl_Odin
